id,gender,stage,year,campus,faculty,program,gpa,total_friends,inside_friends
1,1,ba,1,nn,economics,economics,8.9,167,53
2,2,ba,1,nn,economics,economics,8.8,148,53
3,2,ba,1,nn,economics,economics,8.9,184,111
4,2,ba,1,nn,economics,economics,8.6,123,26
5,1,ba,1,nn,economics,economics,8.6,208,119
6,2,ba,1,nn,economics,economics,8.4,128,25
7,2,ba,1,nn,economics,economics,8.6,347,66
8,1,ba,1,nn,economics,economics,8.6,17,0
9,1,ba,1,nn,economics,economics,8.6,278,102
10,1,ba,1,nn,economics,economics,8.2,149,62
11,1,ba,1,nn,economics,economics,8.2,101,22
12,1,ba,1,nn,economics,economics,8.4,131,36
13,1,ba,1,nn,economics,economics,8.5,474,62
14,1,ba,1,nn,economics,economics,8.2,278,80
15,1,ba,1,nn,economics,economics,8.2,298,58
16,1,ba,1,nn,economics,economics,8.1,187,41
17,2,ba,1,nn,economics,economics,7.9,95,54
18,1,ba,1,nn,economics,economics,8,25,11
19,1,ba,1,nn,economics,economics,8.4,815,129
20,1,ba,1,nn,economics,economics,8.2,204,40
21,0,ba,1,nn,economics,economics,8.5,0,0
22,1,ba,1,nn,economics,economics,8,154,20
23,1,ba,1,nn,economics,economics,8.1,142,50
24,1,ba,1,nn,economics,economics,8.1,94,43
25,2,ba,1,nn,economics,economics,7.9,107,50
26,1,ba,1,nn,economics,economics,7.9,207,35
27,2,ba,1,nn,economics,economics,8.2,356,46
28,1,ba,1,nn,economics,economics,8.1,180,52
29,1,ba,1,nn,economics,economics,8.1,518,83
30,1,ba,1,nn,economics,economics,8.1,274,48
31,1,ba,1,nn,economics,economics,8,346,46
32,1,ba,1,nn,economics,economics,8,87,28
33,1,ba,1,nn,economics,economics,8,346,59
34,1,ba,1,nn,economics,economics,8,221,59
35,1,ba,1,nn,economics,economics,8.1,207,41
36,2,ba,1,nn,economics,economics,8,218,46
37,1,ba,1,nn,economics,economics,7.9,160,41
38,2,ba,1,nn,economics,economics,7.8,228,59
39,1,ba,1,nn,economics,economics,7.8,189,64
40,1,ba,1,nn,economics,economics,7.8,726,125
41,2,ba,1,nn,economics,economics,8,49,21
42,1,ba,1,nn,economics,economics,7.9,245,83
43,1,ba,1,nn,economics,economics,7.6,76,26
44,1,ba,1,nn,economics,economics,7.9,297,105
45,1,ba,1,nn,economics,economics,7.9,135,30
46,1,ba,1,nn,economics,economics,7.8,185,59
47,1,ba,1,nn,economics,economics,7.6,78,32
48,1,ba,1,nn,economics,economics,7.6,212,63
49,1,ba,1,nn,economics,economics,7.5,265,27
50,1,ba,1,nn,economics,economics,7.5,703,62
51,2,ba,1,nn,economics,economics,8,102,44
52,1,ba,1,nn,economics,economics,7.6,147,33
53,1,ba,1,nn,economics,economics,7.6,143,25
54,1,ba,1,nn,economics,economics,8.1,120,59
55,1,ba,1,nn,economics,economics,7.9,302,66
56,1,ba,1,nn,economics,economics,7.6,174,26
